storeids	value	startdayofweek	starttime	cronstart_endtimeraw	enddayofweek	endtime	oneTime?	campus_id	id
1291	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1190
1946,1390,1406	50	5	13:0	0 0 13 * * 5--"0 0 22 * * 5"	5	22:0	null	343	1227
816	5	0,1,2,3,4,5,6	17:50	0 50 17 * * *--"0 0 18 * * *"	0,1,2,3,4,5,6	18:0	null	387	1264
1405	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1187
1795	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1254
449	75	6	7:1	0 1 7 * * 6--"0 59 6 * * 0"	0	6:59	null	87	1106
449	75	5	22:0	0 0 22 * * 5--"0 59 6 * * 6"	6	6:59	null	87	1105
1401	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1179
1404	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1193
1981	15	2	0:0	0 0 0 * * 2--"0 0 3 * * 2"	2	3:0	null	415	1207
1399	20	0,1,2,3,4,5,6	22:0	0 0 22 * * *--"0 0 0 * * *"	0,1,2,3,4,5,6	0:0	null	329	1201
1312	30	0,1,2,3,4,5,6	23:0	0 0 23 * * *--"0 0 7 * * *"	0,1,2,3,4,5,6	7:0	null	335	984
1591	50	5	14:31	0 31 14 * * 5--"0 34 14 * * 0"	0	14:34	null	368	1034
1901	50	0,1,2,3,4,5,6	5:1	0 1 5 * * *--"0 59 4 * * *"	0,1,2,3,4,5,6	4:59	null	367	1261
1360	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1191
1169,1263,1369,1170,1137,1279,1410,1265,1408,1193,1192,1171,1409,1264,1239,1136,1168,1262,1140	45	1	6:1	0 1 6 * * 1--"0 59 5 * * 1"	1	5:59	null	314	1202
380	20	3	18:0	0 0 18 * * 3--"0 0 23 * * 3"	3	23:0	null	387	1103
1292	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1186
1890	20	1	8:0	0 0 8 * * 1--"0 59 7 * * 2"	2	7:59	null	337	1235
1890	20	4	18:54	0 54 18 * * 4--"0 59 7 * * 5"	5	7:59	null	337	1226
1402	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1192
1574	20	0,1,2,3,4,5,6	15:0	0 0 15 * * *--"0 0 18 * * *"	0,1,2,3,4,5,6	18:0	null	329	1121
1219	10	0,1,2,3,4,5,6	17:47	0 47 17 * * *--	0,1,2,3,4,5,6	00:	null	87	1083
1341	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1194
1323	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1189
1356	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1175
1356,816,818,819,820,821	5	0,1,2,3,4,5,6	23:31	0 31 23 * * *--"0 31 0 * * *"	0,1,2,3,4,5,6	0:31	null	329	1159
1356	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1176
1593	50	0,1,2,3,4,5,6	21:10	0 10 21 * * *--"0 0 22 * * *"	0,1,2,3,4,5,6	22:0	null	370	1014
1269	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1188
1359	20	0,1,2,3,4,5,6	21:0	0 0 21 * * *--"0 0 23 * * *"	0,1,2,3,4,5,6	23:0	null	329	1178
1431	20	4	20:0	0 0 20 * * 4--"0 59 7 * * 5"	5	7:59	null	337	1259
1958	25	5	21:0	0 0 21 * * 5--"0 0 22 * * 5"	5	22:0	null	401	1248
1920	100	0,1,2,3,4,5,6	4:0	0 0 4 * * *--"0 59 3 * * *"	0,1,2,3,4,5,6	3:59	null	367	1316
1586	40	0,1,2,3,4,5,6	5:0	0 0 5 * * *--"0 59 4 * * *"	0,1,2,3,4,5,6	4:59	null	367	1204
1268,1389	15	5	13:4	0 4 13 * * 5--"0 4 5 * * 6"	6	5:4	null	328	1143
