start_ts	endpoint	request_body	request_headers
2021-03-02 00:12:03.494402-08	/inventory	"{""retry_count"":0,""time"":1614672697,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000085110116008592410753"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000091730116043132910603"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920002"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000091730116025015570288"",""000023500116127930280292"",""000023500116073810700427"",""000027840116020713570137"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590036"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000089890116003507590537"",""000115720116123538480339"",""000089890116003454690101"",""000093690116031089570316"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000111020116121799780805"",""000101920116037086490195"",""000043640116031290260022"",""000091430116073395440059"",""000065750116135574190943"",""000101790116069946810273"",""000042030116009465510600"",""000042030116009465510594"",""000042030116009465510595"",""000065690116031165630376"",""000044070115675849260555"",""000065750116135574190911"",""000065750116135574190910"",""000040610116082000540111"",""000071510115650020930434"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000038150115623092090970"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000067800116016346810974"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000101790116069946810267"",""000092310116127898590920"",""000101760116024989600470"",""000071510115650020930433"",""000042020115935368990680"",""80025F07F300231193CFFD04""]}"	{'User-Agent': 'okhttp/3.12.4', 'Content-Type': 'application/json; charset=utf-8', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Content-Length': '2581', 'Host': 'kiosk-prod.bytefoods.com', 'Connection': 'Keep-Alive'}
2021-03-02 21:12:07.169557-08	/inventory	"{""retry_count"":0,""time"":1614748297,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000091730116043132910603"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920002"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000023500116127930280292"",""000023500116073810700427"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590036"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000089890116003507590537"",""000115720116123538480339"",""000089890116003454690101"",""000093690116031089570316"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000111020116121799780805"",""000101920116037086490195"",""000043640116031290260022"",""000065750116135574190943"",""000042030116009465510594"",""000042030116009465510595"",""000065690116031165630376"",""000065750116135574190911"",""000065750116135574190910"",""000040610116082000540111"",""000071510115650020930434"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000038150115623092090970"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000092310116127898590920"",""000101760116024989600470"",""000042020115935368990680""]}"	{'Host': 'kiosk-prod.bytefoods.com', 'Content-Type': 'application/json; charset=utf-8', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4', 'Content-Length': '2284'}
2021-03-03 02:42:08.125391-08	/inventory	"{""retry_count"":0,""time"":1614768098,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000091730116043132910603"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920002"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000023500116127930280292"",""000023500116073810700427"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590036"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000089890116003507590537"",""000115720116123538480339"",""000089890116003454690101"",""000093690116031089570316"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000111020116121799780805"",""000101920116037086490195"",""000043640116031290260022"",""000065750116135574190943"",""000042030116009465510594"",""000042030116009465510595"",""000065690116031165630376"",""000065750116135574190911"",""000065750116135574190910"",""000040610116082000540111"",""000071510115650020930434"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000038150115623092090970"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000092310116127898590920"",""000101760116024989600470"",""000042020115935368990680""]}"	{'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '2284', 'Host': 'kiosk-prod.bytefoods.com', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4'}
2021-03-03 03:46:49.992813-08	/products_and_promotions		{'Host': 'kiosk-prod.bytefoods.com', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f'}
2021-03-03 04:12:08.44006-08	/inventory	"{""retry_count"":0,""time"":1614773498,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000091730116043132910603"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920002"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000023500116127930280292"",""000023500116073810700427"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590036"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000089890116003507590537"",""000115720116123538480339"",""000089890116003454690101"",""000093690116031089570316"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000111020116121799780805"",""000101920116037086490195"",""000043640116031290260022"",""000065750116135574190943"",""000042030116009465510594"",""000042030116009465510595"",""000065690116031165630376"",""000065750116135574190911"",""000065750116135574190910"",""000040610116082000540111"",""000071510115650020930434"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000038150115623092090970"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000092310116127898590920"",""000101760116024989600470"",""000042020115935368990680""]}"	{'Content-Length': '2284', 'Host': 'kiosk-prod.bytefoods.com', 'User-Agent': 'okhttp/3.12.4', 'Content-Type': 'application/json; charset=utf-8', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive'}
2021-03-03 19:42:10.935671-08	/inventory	"{""retry_count"":0,""time"":1614829298,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000023500116127930280292"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000101920116037086490195"",""000065750116135574190943"",""000065690116031165630376"",""000065750116135574190911"",""000040610116082000540111"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000092310116127898590920"",""000101760116024989600470""]}"	{'Connection': 'Keep-Alive', 'Host': 'kiosk-prod.bytefoods.com', 'Content-Type': 'application/json; charset=utf-8', 'User-Agent': 'okhttp/3.12.4', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Content-Length': '1852'}
2021-03-04 07:12:12.949159-08	/inventory	"{""retry_count"":0,""time"":1614870699,""epc"":[""000071490115916261470703"",""000085110116008592410763"",""000093690115986165420158"",""000061150116020677660822"",""000061150115989658240587"",""000093690115986165420003"",""000061150116020677660467"",""000061150116020677660476"",""000085110116008592410354"",""000093690115986165420176"",""000061150116016412250705"",""000111270116091767120316"",""000111270116091767120258"",""000111270116091767120262"",""000075380115935302530001"",""000047140116061254400849"",""000044040115839946140927"",""000085110116038880060635"",""000064180116057066450515"",""000093690116031089570698"",""000065750116071389770643"",""000064190116037103920016"",""000064190116037103920008"",""000040610116082000540690"",""000040610116082000540691"",""000040610116082000540695"",""000040610116082000540694"",""000027840116020713570078"",""000023500116073810700298"",""000027840116116652220999"",""000040890115666434170516"",""000081750116112376090919"",""000061610116058563050660"",""000023500116127930280292"",""000081750116112376090971"",""000091730116025015570086"",""000081750116112376090821"",""000089890116003507590144"",""000089890116003507590679"",""000091730116025015570073"",""000089890116003454690074"",""000075390116043131790960"",""000075390116043131790938"",""000027840116116652220832"",""000047140116061254400059"",""000115720116123538480200"",""000104480116021690620614"",""000092310116055198880023"",""000101920116037086490195"",""000065750116135574190943"",""000065690116031165630376"",""000065750116135574190911"",""000040610116082000540111"",""000080960116107226410201"",""000038160115731989040056"",""000101900116142037770987"",""000042070116111428890452"",""000038160115731989040469"",""000065750116135574190944"",""000065750116135574190945"",""000091430116010405600003"",""000067800116016346810965"",""000038150115623092090942"",""000093680116031054880410"",""000038150115693877781672"",""000092310116127898590920""]}"	{'Content-Length': '1825', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImlhdCI6MTYxNDg1NDU0NCwiZXhwIjoxNjE1NDU5MzQ0fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.2SoQk9C5NX2La8-TdTnP5t3Mm-NM4ofaKYHduyjrN84', 'Connection': 'Keep-Alive', 'Content-Type': 'application/json; charset=utf-8', 'User-Agent': 'okhttp/3.12.4', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:01:42.823986-08	/products_and_promotions		{'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Connection': 'Keep-Alive', 'Host': 'kiosk-prod.bytefoods.com', 'User-Agent': 'okhttp/3.12.4', 'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f'}
2021-03-01 00:02:17.271455-08	/status	"{""gcm_id"":""fUcDWMxL-sc:APA91bELOmRHqBkOr9cEZlzkfsFlm8lWSwFXgI5ipMMoP-R0ljaAkqXvLnWfgTgURTctxgABZykyn6qgKQdPoA4Qrys0_e_LLPr_D-BSQ-fpJC-boXNrkrW8tALzioRifEj51YRRrR-J"",""kiosk_id"":790,""retry_queue_length"":0,""num_transactions_pending_sync"":0,""battery_level"":100,""is_locked"":false,""system_uptime"":591863620,""kiosk_temperature"":0,""retry_count"":0,""temperature_tags"":[{""read_count"":3,""read_avg"":-1.31,""epc"":""000047170115990579250149""},{""read_count"":10,""read_avg"":-0.98,""epc"":""000047160115990534900120""}],""kiosk_temperature_count"":0,""time"":1614585714,""kit_temperature"":0,""rfid_0"":4388,""happy_hour"":0,""rfid_1"":3972,""power"":0,""app_uptime"":584439426,""rfid_2"":3997,""rfid_3"":3962,""rfid_4"":3434,""rfid_5"":3441,""rfid_6"":3411,""rfid_7"":3421}"	{'Content-Length': '721', 'User-Agent': 'okhttp/3.12.4', 'Content-Type': 'application/json; charset=utf-8', 'Connection': 'Keep-Alive', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw', 'Host': 'kiosk-prod.bytefoods.com'}
2021-03-01 00:06:42.838406-08	/products_and_promotions		{'If-None-Match': '8b877a111787cdf21a704849a2fce030ebec5d0f', 'Connection': 'Keep-Alive', 'User-Agent': 'okhttp/3.12.4', 'Host': 'kiosk-prod.bytefoods.com', 'Cookie': 'pantry-sid=eyJhbGciOiJIUzI1NiIsImV4cCI6MTYxNDg1NDQ3OSwiaWF0IjoxNjE0MDAxMjc5fQ.eyJzZXJpYWwiOiIwMDAwMWNkNDBlZTIifQ.Gk63eBJiPBGJBmCo58win95xHZOz_SdRLcnaI8tcsYw'}
